,type,position,item_type,item_additionalType,item_brand_type,item_brand_name,item_model,item_bodyType,item_fuelType,item_seatingCapacity,item_color,item_name,item_mainEntityOfPage,item_url,item_image,item_description,item_offers_type,item_offers_price,item_offers_priceCurrency,item_offers_itemCondition,item_offers_seller_type,item_offers_seller_homeLocation_type,item_offers_seller_homeLocation_address_type,item_offers_seller_homeLocation_address_addressLocality,item_offers_seller_homeLocation_address_addressRegion,item_offers_seller_url
11,ListItem,10,Car,Product,Thing,BMW,528i,Sedan,Petrol - Unleaded (ULP),5,White,2014 BMW 528i  ,https://www.carlist.my/used-cars/2014-bmw-528i/9526345?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9526345,"['https://img1.icarcdn.com/5436259/thumb-l_used-car-carlist-bmw-5-series-528i-m-sport-sedan-malaysia_000005436259_1d447f74_b575_4555_a7a6_2e30b8b0e442.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/5436259/thumb-l_used-car-carlist-bmw-5-series-528i-m-sport-sedan-malaysia_000005436259_905a8b1e_5d79_4151_9c59_92e3def5fc58.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/5436259/thumb-l_used-car-carlist-bmw-5-series-528i-m-sport-sedan-malaysia_000005436259_278c4020_2b77_475b_9cbc_c0fca7278251.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/5436259/thumb-l_used-car-carlist-bmw-5-series-528i-m-sport-sedan-malaysia_000005436259_e0fc22bc_ccd4_42cf_8ef4_c5227577a085.jpg.webp?smia=xTM']",F10 sedan 4dr m sport steptronic 8sp rwd 2.0ditsc,Offer,159800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Shah Alam,Selangor,https://www.carlist.my/dealer/817e7f6b-e052-4bb2-9f2e-331e5d39975a
12,ListItem,11,Car,Product,Thing,BMW,328i,Sedan,Petrol - Unleaded (ULP),5,Red,2012 BMW 328i  ,https://www.carlist.my/used-cars/2012-bmw-328i/9526206?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9526206,"['https://img1.icarcdn.com/6026259/thumb-l_used-car-carlist-bmw-3-series-328i-luxury-line-sedan-malaysia_000006026259_954ead95_dec2_417e_adfb_1d22af36157d.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6026259/thumb-l_used-car-carlist-bmw-3-series-328i-luxury-line-sedan-malaysia_000006026259_bb7b1a48_28b7_41d1_ac70_a15c60af60e7.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6026259/thumb-l_used-car-carlist-bmw-3-series-328i-luxury-line-sedan-malaysia_000006026259_9f3e4698_a2c8_404c_ad39_60ee0ec9f465.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/6026259/thumb-l_used-car-carlist-bmw-3-series-328i-luxury-line-sedan-malaysia_000006026259_6a679cc0_9839_408a_8666_0b4f11762206.jpg.webp?smia=xTM']",F30 sedan 4dr luxury line sa 8sp rwd 2.0ditsc (ckd),Offer,98800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Shah Alam,Selangor,https://www.carlist.my/dealer/817e7f6b-e052-4bb2-9f2e-331e5d39975a
13,ListItem,12,Car,Product,Thing,BMW,330e,Sedan,Hybrid,5,Grey,2018 BMW 330e 2.0 M Sport Sedan ( Sticker in good condition + Rare Colour ),https://www.carlist.my/used-cars/2018-bmw-330e-2-0-m-sport-sedan-sticker-in-good-condition-rare-colour/9480964,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9480964,"['https://img1.icarcdn.com/4690849/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000004690849_ae461fb7_7b3f_4cd8_b519_50c9fc131672.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4690849/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000004690849_7a851807_577c_4272_8ee9_98f419017b40.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4690849/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000004690849_91532dab_e761_441f_a96c_4897bb6472ea.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/4690849/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_c9dc99ab16206b49114e7d37135a76f9_1f773891_7689_47df_a300_802f78369501_000004690849_e5535754_8e83_49c5_968c_45232ddd0a3f.jpg.webp?smia=xTM']",Bmw authorized dealer bring you worry free buying experience    bmw auto ...,Offer,155800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Chan Sow Lin,Kuala Lumpur,https://www.carlist.my/dealer/bmwkl4
14,ListItem,13,Car,Product,Thing,BMW,330e,Sedan,Hybrid,5,Black,2016 BMW 330e  ,https://www.carlist.my/used-cars/2016-bmw-330e/9526195?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9526195,"['https://img1.icarcdn.com/5916259/thumb-l_used-car-carlist-bmw-3-series-330e-sport-line-sedan-malaysia_000005916259_da1d4b81_4d00_47b5_8931_ae8f76ae6faa.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/5916259/thumb-l_used-car-carlist-bmw-3-series-330e-sport-line-sedan-malaysia_000005916259_813ba444_0042_4bc7_80a6_0e98873c31ea.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/5916259/thumb-l_used-car-carlist-bmw-3-series-330e-sport-line-sedan-malaysia_000005916259_fe29432d_b270_476e_bd81_7cfe12a70446.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/5916259/thumb-l_used-car-carlist-bmw-3-series-330e-sport-line-sedan-malaysia_000005916259_2aa0cc2b_89f2_4db0_b43a_dfdbd318be04.jpg.webp?smia=xTM']",F30 sedan 4dr sa 8sp rwd 2.0ditsc (sport line),Offer,113800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Shah Alam,Selangor,https://www.carlist.my/dealer/817e7f6b-e052-4bb2-9f2e-331e5d39975a
15,ListItem,14,Car,Product,Thing,BMW,X5,SUV,Hybrid,5,Grey,2017 BMW X5 2.0L xDrive40e M-Sport Luxury SUV Extended 2 Years Warranty Lawyer Owner,https://www.carlist.my/used-cars/2017-bmw-x5-2-0l-xdrive40e-m-sport-luxury-suv-extended-2-years-warranty-lawyer-owner/9493846,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9493846,['https://img1.icarcdn.com/6483949/thumb-l_used-car-carlist-bmw-x-x5-xdrive40e-m-sport-suv-malaysia_000006483949_76445b4f_153b_45ad_941b_3da5a5ea789b.jpeg.webp?smia=xTM'],"2017 year of manufacturer, september 2017 registered!  genuine mileage, full ...",Offer,189280,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Butterworth,Penang,
16,ListItem,15,Car,Product,Thing,BMW,528i,Sedan,Petrol - Unleaded (ULP),5,Black,2010 BMW 528i (A) LOCAL CKD F10,https://www.carlist.my/used-cars/2010-bmw-528i-a-local-ckd-f10/9329129,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9329129,['https://img1.icarcdn.com/9219239/thumb-l_used-car-carlist-bmw-5-series-528i-sedan-malaysia_c9dc99ab1620fa49113ebeb4b63a91ce_5ef2aa15_8c4f_4d8a_b29b_c153e4af53a6_000009219239_bc690651_63c4_42d6_bf65_1b10455c9c84.jpg.webp?smia=xTM'],"饾煇饾煄饾煆饾煄 饾悂饾悓饾悥 饾煋饾煇饾煐饾悽 (饾悁) 饾悑饾悗饾悅饾悁饾悑 饾悅饾悐饾悆 饾悈饾煆饾煄  馃挵饾棩饾棤 饾煴饾煹,饾煹饾煬饾煬馃挵    鉁 trusted 鉁 efficient 鉁 ...",Offer,59900,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Nibong Tebal,Penang,https://www.carlist.my/dealer/tecklandmotors
17,ListItem,16,Car,Product,Thing,BMW,330e,Sedan,Hybrid,5,Black,2017 BMW 330e  ,https://www.carlist.my/used-cars/2017-bmw-330e/9526148?bmw=true,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9526148,"['https://img1.icarcdn.com/8416259/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_000008416259_7cd1e1e8_192f_4218_a1ad_f5b61a088a5f.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/8416259/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_000008416259_a418e859_0a2e_4282_a82b_87caee012545.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/8416259/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_000008416259_2eebd503_9f07_4d4d_899d_eeb035801bf8.jpg.webp?smia=xTM', 'https://img1.icarcdn.com/8416259/thumb-l_used-car-carlist-bmw-3-series-330e-m-sport-sedan-malaysia_000008416259_58a2d311_f988_4447_8979_1ef1cf4f1bd4.jpg.webp?smia=xTM']",F30 sedan 4dr m sport sa 8sp rwd 2.0ditsc,Offer,136800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Shah Alam,Selangor,https://www.carlist.my/dealer/817e7f6b-e052-4bb2-9f2e-331e5d39975a
18,ListItem,17,Car,Product,Thing,BMW,316i,Sedan,Petrol - Unleaded (ULP),5,Black,2016 BMW 316i 1.6 FULL SERVICE RECORD WITH FULLY M-PERFORMANCE EDITION UNIT,https://www.carlist.my/used-cars/2016-bmw-316i-1-6-full-service-record-with-fully-m-performance-edition-unit/9347559,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9347559,['https://img1.icarcdn.com/9557439/thumb-l_used-car-carlist-bmw-3-series-316i-sedan-malaysia_000009557439_a553f8e9_19f5_434a_9f8a_da1efcfa521d.jpeg.webp?smia=xTM'],Asalamualaikum. 丕賱爻賻賾賱丕賻賲購 毓賻賱賻賷賿賰購賲賿 賵賻乇賻丨賿賲賻丞購 丕賱賱賴賽 賵賻亘賻乇賻賰賻丕鬲購賴購    *** my ...,Offer,83800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Kajang,Selangor,https://www.carlist.my/dealer/myautocitytrading
19,ListItem,18,Car,Product,Thing,BMW,318i,Sedan,Petrol - Unleaded (ULP),5,White,2017 BMW 318i 1.5 M PERFORMANCE EDITION UNIT COME WITH BMW FULL SERVICE RECORD 62KM,https://www.carlist.my/used-cars/2017-bmw-318i-1-5-m-performance-edition-unit-come-with-bmw-full-service-record-62km/9443936,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9443936,['https://img1.icarcdn.com/6393449/thumb-l_used-car-carlist-bmw-3-series-318i-luxury-sedan-malaysia_000006393449_c23418f5_5b31_4842_bc33_fa07c2174d08.jpeg.webp?smia=xTM'],Asalamualaikum. 丕賱爻賻賾賱丕賻賲購 毓賻賱賻賷賿賰購賲賿 賵賻乇賻丨賿賲賻丞購 丕賱賱賴賽 賵賻亘賻乇賻賰賻丕鬲購賴購    *** my ...,Offer,102800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Cheras,Selangor,https://www.carlist.my/dealer/myautocitytrading
20,ListItem,19,Car,Product,Thing,BMW,328i,Sedan,Petrol - Unleaded (ULP),5,Grey,2015 BMW 328i 2.0 M Sport 1 OWNER AUTO BAVARIA FULL SERIVCE WITH M PEFORMANCE LIMITED EDITION UNIT,https://www.carlist.my/used-cars/2015-bmw-328i-2-0-m-sport-1-owner-auto-bavaria-full-serivce-with-m-peformance-limited-edition-unit/9248530,https://www.carlist.my/used-cars-for-sale/bmw/malaysia?page_number=1&page_size=25#listing_9248530,['https://img1.icarcdn.com/0358429/thumb-l_used-car-carlist-bmw-3-series-328i-m-sport-sedan-malaysia_000000358429_0e1bc8ca_7994_4709_8eaf_d4de4cbe0d52.jpeg.webp?smia=xTM'],Asalamualaikum. 丕賱爻賻賾賱丕賻賲購 毓賻賱賻賷賿賰購賲賿 賵賻乇賻丨賿賲賻丞購 丕賱賱賴賽 賵賻亘賻乇賻賰賻丕鬲購賴購    *** my ...,Offer,126800,MYR,http://schema.org/UsedCondition,Person,Place,PostalAddress,Kajang,Selangor,https://www.carlist.my/dealer/myautocitytrading
